"","id","title","observation_start","observation_end","frequency","units","seasonal_adjustment"
"1","AHETPI","Average Hourly Earnings of Production and Nonsupervisory Employees: Total Private","1964-01-01","2018-01-01","Monthly","Dollars per Hour","Seasonally Adjusted"
"2","AWHI","Index of Aggregate Weekly Hours: Production and Nonsupervisory Employees: Total Private Industries","1964-01-01","2018-01-01","Monthly","Index 2002=100","Seasonally Adjusted"
"3","AWHMAN","Average Weekly Hours of Production and Nonsupervisory Employees: Manufacturing","1939-01-01","2018-01-01","Monthly","Hours","Seasonally Adjusted"
"4","AWOTMAN","Average Weekly Overtime Hours of Production and Nonsupervisory Employees: Manufacturing","1956-01-01","2018-01-01","Monthly","Hours","Seasonally Adjusted"
"5","BOPGEXP","Exports of Goods, Balance of Payments Basis","1992-01-01","2017-12-01","Monthly","Millions of Dollars","Seasonally Adjusted"
"6","BOPGSTB","Trade Balance: Goods and Services, Balance of Payments Basis","1992-01-01","2017-12-01","Monthly","Millions of Dollars","Seasonally Adjusted"
"7","CAPUTLG211S","Capacity Utilization: Oil and gas extraction","1972-01-01","2018-01-01","Monthly","Percent of Capacity","Seasonally Adjusted"
"8","CAPUTLG2211A2S","Capacity Utilization: Electric and gas utilities","1967-01-01","2018-01-01","Monthly","Percent of Capacity","Seasonally Adjusted"
"9","CAPUTLG3361T3S","Capacity Utilization: Durable Manufacturing: Motor vehicles and parts","1948-01-01","2018-01-01","Monthly","Percent of Capacity","Seasonally Adjusted"
"10","CE16OV","Civilian Employment Level","1948-01-01","2018-01-01","Monthly","Thousands of Persons","Seasonally Adjusted"
"11","CEU3000000009","Average Weekly Overtime Hours of Production and Nonsupervisory Employees: Manufacturing","1956-01-01","2018-01-01","Monthly","Hours","Not Seasonally Adjusted"
"12","CEU5500000001","All Employees: Financial Activities","1939-01-01","2018-01-01","Monthly","Thousands of Persons","Not Seasonally Adjusted"
"13","CEU8000000001","All Employees: Other Services","1939-01-01","2018-01-01","Monthly","Thousands of Persons","Not Seasonally Adjusted"
"14","CPALTT01USM661S","Consumer Price Index: Total All Items for the United States","1960-01-01","2017-12-01","Monthly","Index 2010=1","Seasonally Adjusted"
"15","CPIAPPSL","Consumer Price Index for All Urban Consumers: Apparel","1947-01-01","2018-01-01","Monthly","Index 1982-1984=100","Seasonally Adjusted"
"16","CPIAUCSL","Consumer Price Index for All Urban Consumers: All Items","1947-01-01","2018-01-01","Monthly","Index 1982-1984=100","Seasonally Adjusted"
"17","CPIFABSL","Consumer Price Index for All Urban Consumers: Food and Beverages","1967-01-01","2018-01-01","Monthly","Index 1982-1984=100","Seasonally Adjusted"
"18","CPIHOSSL","Consumer Price Index for All Urban Consumers: Housing","1967-01-01","2018-01-01","Monthly","Index 1982-1984=100","Seasonally Adjusted"
